Rank,Wallet Address,City Rank Points,Prime Roll Points,Met Deposit Points,Fuel Tank Points,Hood Boost Points,Total Points
301,0x321c8e1dd1077cd70b3058eb8fd9298d507ef054,1014,1050,0,250,2500,4814
302,0x13c4028cd9e9554784cf699bd5566c82e4b7f5d4,3808,0,0,0,1000,4808
303,0x61753567d64c18b7f0836149d35e4fef8d49b82c,1892,300,0,115,2500,4807
304,0x4277ca38084f942741748bbfb84369397d99baca,545,0,0,250,4000,4795
305,0x58c4876febe21bddf5016fc65a593ce65f397aa4,760,0,0,0,4000,4760
306,0xda9d52744bce43b6cc0fbdb1d74ac90f0a1398da,4750,0,0,0,0,4750
307,0xefb168465c39d612c46872b6bc7d1f171e006028,1940,300,0,0,2500,4740
308,0x410bd673d011704ee5330f97e262e36c0da57619,2027,0,0,210,2500,4737
309,0x19b3537851e4da81e17f0c390054f24f28b2d75e,1234,0,0,1000,2500,4734
310,0xb9c23a06681dd13ef6e4a57a5a6e3e8fa458521a,133,600,0,0,4000,4733
311,0x08af2be6e1e92d6f612106dffff474bb1b482e79,367,0,0,304,4000,4671
312,0x4a1131863118ddc6cff098e074af9481e58ce93d,421,100,0,142,4000,4663
313,0xd2e6fd16e0debe8785db82ab6806dbab0ffcaa26,1699,200,0,253,2500,4652
314,0xe85e5955422fdb5943d258eaa336823c30a9afd7,2122,0,0,0,2500,4622
315,0xc368fb970bb9426f3def1a78e0f98458c797dd72,161,300,0,160,4000,4621
316,0x7285beb4375858a1f9edef822606ffa5df41ac13,1796,0,0,300,2500,4596
317,0x17d05c8f7f495a652fe506595ece459bfdf3ee83,211,0,0,350,4000,4561
318,0x49094d4a1c5a032b7adf49687689155b865d3719,557,0,0,0,4000,4557
319,0x8645b1811a0e582dcd2a3cf42e3dc89a6cd388c6,273,100,0,180,4000,4553
320,0x8f63828687b27e6c82fea3517d2fa9a157d3f5ac,552,0,0,0,4000,4552
321,0xbae24c3227779b641dc55cbe0dd2aafdde9e3133,295,0,0,250,4000,4545
322,0xaf62aeb6e80573ad5e2aae447500f33705f1e991,541,0,0,0,4000,4541
323,0x69d9186c911f23dde167186e11dbf73ae1d21422,528,0,0,0,4000,4528
324,0x866670d6e5c2d9791c16458b3119012fc186e763,100,200,0,199,4000,4499
325,0xf6427955be361fee70d1923b96737c1b5ec3f2b2,291,0,0,200,4000,4491
326,0xf2139f026db96c7924ce79cab1ec0e146686e7e0,476,0,0,0,4000,4476
327,0x5f61ed69b501feb8c21130f414c43d9ec61c4c02,3183,0,0,1284,0,4467
328,0xd5f217010b116653fcabf4611ec00db7b1e0914d,284,0,0,160,4000,4444
329,0x315e820f1db8c5743010c23c389e4daaf66d2219,439,0,0,0,4000,4439
330,0x7dc03bfb85f20c0559bcb1d1ee8696321776fba5,262,0,0,166,4000,4428
331,0x60aa8a09b6144117a3015ef62d8bf8baad5f3bb0,191,0,0,234,4000,4425
332,0xc2582c1300ccbe4e52bfc31c4d49be107a6fb747,257,0,0,150,4000,4407
333,0x71297f02ab9971c99abd67c3f18e87b0ef6691cb,221,0,0,180,4000,4401
334,0x85424527f562ace00e055589e15048dd477cc564,401,0,0,0,4000,4401
335,0x9ade0002fe2f0c2620e7804827dcdd48b2949f01,373,0,0,0,4000,4373
336,0xa086ee8af7d931f46ca0765f5b49fa395c74950d,1870,0,0,0,2500,4370
337,0x0264bb36b78f747666d2c4257844abe299aae57a,1868,0,0,0,2500,4368
338,0xde5fee9652ab1656ffe9fab293da0274ba3f0ca8,359,0,0,0,4000,4359
339,0x829bacf4cc05418cef0e194e23fa9b4548f9e541,340,0,0,0,4000,4340
340,0x880b1876447ca0c9bcc644dfab6eaaf983a9daa4,1709,0,0,129,2500,4338
341,0xb90d0a001c06674538e6f04d1766938f3c3c1aed,335,0,0,0,4000,4335
342,0x867e7800c5d6e7d391682a425f307284aa8ee316,111,0,0,220,4000,4331
343,0x1d91db52e49b608e7cff0389f04fa466b15a24b5,323,0,0,0,4000,4323
344,0x9e75aa8da215804fa82c8c6b5f24bbb7ff069541,127,0,0,195,4000,4322
345,0xa6e584c610c8eb7f8fa77294c23a07fef5f34f8d,69,0,0,250,4000,4319
346,0x4c13361c4e04206f41ec81b506d1d2df70ab5751,1405,0,0,400,2500,4305
347,0x57481ab7d4bdb94dade9d97646f883984d198bae,297,0,0,0,4000,4297
348,0xc7feaf38594e78ad08c795b82caf61e86f36e0c7,180,0,0,101,4000,4281
349,0xbd2bd8fdfa692f8ad38acca070de020476809db4,1778,0,0,0,2500,4278
350,0xe70e8cbd10a932e3a7eb27705749c9287e3d884a,1584,0,0,192,2500,4276
351,0x5b0f44082743e72b440ceb6eb530ac83e95eba25,275,0,0,0,4000,4275
352,0x7dfb3dea1935c677c041e2f6982b9eeec937502b,20,0,0,252,4000,4272
353,0xd91523f9fc871c8f6e57598ff3d862e7281c910c,166,0,0,101,4000,4267
354,0x24c6b71646da84dbe7851d6a79e3653f873e9b4a,212,0,0,0,4000,4212
355,0x78d39777843129f3a73752916a7d2622319519bf,206,0,0,0,4000,4206
356,0x0e2149e503eac0936f2880915a5f8a9936f6bd14,0,200,0,0,4000,4200
357,0x972e633f5f6f62d1f2a13977f113941fcb3b606b,0,0,0,200,4000,4200
358,0x04dc9e10ae8bfff26a553edeacfa51acc57291ca,184,0,0,0,4000,4184
359,0x4bf97a55f26343123260cc989402ad8ea9f43846,1674,0,0,0,2500,4174
360,0x3988dff5d29499038c5d5124a770c6557c2c146a,166,0,0,0,4000,4166
361,0xa122c97d15e338e7da6c97e3154f787b4d31d893,143,0,0,0,4000,4143
362,0xa789a7ccf50a346250d516571c96588078b9d205,89,50,0,0,4000,4139
363,0xcb77a8d5e409c3371adffba18a668f619b7fed78,132,0,0,0,4000,4132
364,0xcea1ff53d1d1fe7b68de007cbd193e4d4ae58ac3,631,0,0,1000,2500,4131
365,0x771b5ebbec194be726e6193968a59b41f49403a5,1361,0,0,250,2500,4111
366,0x9a58b9a234022c1c8d92b3ff9dfbcdc9cb588aff,107,0,0,0,4000,4107
367,0x66733550e79fb5cb58ac976c84490a391d29bdf0,84,0,0,0,4000,4084
368,0x282b578d26f33ffb236fe493afa36d2b7412157b,82,0,0,0,4000,4082
369,0x56b1f254a66aa48767c3a59be167eef01c81039b,1118,250,0,212,2500,4080
370,0xd6988db071877f91ee3edcf73b94fbd9e35fdb81,80,0,0,0,4000,4080
371,0x84b1172dd411adc84a16dcd161f21cc1b0168ff7,74,0,0,0,4000,4074
372,0x0bda5ffa68972ae3586102def7f97083b6ab54a3,64,0,0,0,4000,4064
373,0x3ac86ac6d1ef70889a84198103278bceb049fce3,1557,0,0,0,2500,4057
374,0xf52c0a216dfc67313338c703e69342511f62ebc6,51,0,0,0,4000,4051
375,0xe9690567bd3851c6fcf6b51839ff027f1743d8c3,45,0,0,0,4000,4045
376,0xd4c85d3901158860da7632726e10f08d9991377d,41,0,0,0,4000,4041
377,0xdfeac721c03179a91df843f1ffb823f64b4bd332,30,0,0,0,4000,4030
378,0x097cd951f746c9182c8ab68f51787054e76ddeb7,27,0,0,0,4000,4027
379,0xd0c68be2da85c07442295f319da54c112fb2ce8d,26,0,0,0,4000,4026
380,0x5ace364de66dafdb8e879f8743a859d27c6966fb,19,0,0,0,4000,4019
381,0xb0012c49cf4c4669d424063b682791672b5d2e0b,16,0,0,0,4000,4016
382,0x1781facf9e7098f64eb5c5ba503fbe3238115be9,16,0,0,0,4000,4016
383,0xb306e1ac79bfb44f6af18856a15202f0ae94da85,15,0,0,0,4000,4015
384,0xe03a5db3d201b060e2900c8a2eab29e704676d0a,167,0,0,3800,0,3967
385,0x3a46a6df61f7c10e4c1079a093bfe9113b2ee21b,965,0,0,500,2500,3965
386,0xa8232a38f2935e8ee543718fe163c2a5a2b868c8,960,50,0,400,2500,3910
387,0x9169c186b65a246ec627a9a453276540412f6278,3607,300,0,0,0,3907
388,0x13d761db77e560043c61bd7549f02c5fc3cb9fc0,1133,0,0,242,2500,3875
389,0x35c09a5f7c7630a7be39d6f7479ba120b399b21a,441,750,0,180,2500,3871
390,0x656e52dbe475ccaa17eade77dd4665b9c6773c6f,1336,0,0,0,2500,3836
391,0x77255ded09254c82cf4d203c278015405ea96c20,1084,0,0,200,2500,3784
392,0x99e76e643ff83dcf151093220fbf91a1c70104d0,1281,0,0,0,2500,3781
393,0xdbd0a3b1391c651ace054c44f5f507bad8bb30a9,1266,0,0,0,2500,3766
394,0xdcf85d223489c187d280aa83723a171ad2e4a474,1103,0,0,152,2500,3755
395,0xa78aea859a428b1e40739d5b07a78614d3f7ab18,1002,250,0,0,2500,3752
396,0x5a267648184fc3aa949a85ba489d490dc039f2d6,1049,0,0,200,2500,3749
397,0xfab66358a111696c1c53ca5db3290e4241b1231d,1241,0,0,0,2500,3741
398,0xf91f307b84a188f2687080b54a219e92f400283c,280,950,0,0,2500,3730
399,0x763e1d60ed5d57195383cfb14a5e56925af76063,657,550,0,0,2500,3707
400,0x2d97188d8b07148130de640fb464da791f2fa72b,517,0,0,621,2500,3638
401,0xeb890431437a84ddc3115726cb76b587212dde8b,1105,0,0,0,2500,3605
402,0xca27a5872bec32b06e93244d9d723c69e2d2f45c,1096,0,0,0,2500,3596
403,0x9bc5f114622cc2cd0509e245c9f32633ce48149e,2233,0,0,354,1000,3587
404,0x30b5bb3936f15d4001b05ef3c5bf04d46214f639,677,0,0,400,2500,3577
405,0x83faeaa32b65da3489f3ae8d4bb014951ee3f8db,1063,0,0,0,2500,3563
406,0x34301ef4f9b295ea011cbbe7d60c9a21eb7a98a4,1057,0,0,0,2500,3557
407,0xdfa30b17f2e2451e2054bf11262df5b1fd3d2543,642,0,0,400,2500,3542
408,0x9528240cbab5e2fab40248f4907e8696b3f23fd6,252,550,0,211,2500,3513
409,0x987a8f3a0a7ad3b6a4b943c0411f4021b22a24fe,3007,0,0,500,0,3507
410,0xa310721fbd2c38c5c62bf43f5c83612d09fa02a0,0,3500,0,0,0,3500
411,0xd1261daa88f53de7d9c935715e2d04fb756cd3c2,591,400,0,0,2500,3491
412,0x8740a43d6b64ba8f4710e50fdc4569e53522b389,660,150,0,174,2500,3484
413,0x653734faed8b6caf6aba1abba014033bb688d421,783,0,0,200,2500,3483
414,0xe13a389a0dd6dc13d3901725a0fc224822738088,1870,0,0,601,1000,3471
415,0xf3eab93aad4d9fee50a0b3072a56b9a1041859ba,585,0,0,356,2500,3441
416,0x4ba926ce1637b6b9179175db190e288579d8edfe,602,150,0,188,2500,3440
417,0xddc4980193cf5f607e7e9a02970ff4e607881b1b,939,0,0,0,2500,3439
418,0x98ea696fd1932f013136641963b3f8d83e2b52cd,127,550,0,250,2500,3427
419,0x7ccea6732ab9ca328e6c565ea327763150460fee,2291,0,0,128,1000,3419
420,0xa5bb63bb61b1e213377c431fafb0b44f69a26fba,9,1250,0,2153,0,3412
421,0x6c3918364a8612d79d3d25bb4a4ac54ea9099e0b,910,0,0,0,2500,3410
422,0x5be19b55ae5d97c1d81da9cb7e3c4e963863b6f6,700,0,0,200,2500,3400
423,0xa2e8492a07de0d505f8bb76b2a8758087c099be9,887,0,0,0,2500,3387
424,0x9d8c18f7dd836049343c41341fd1edf5d9ab760b,885,0,0,0,2500,3385
425,0x26cd6bef64943680e52f62ff58e93831cd785333,881,0,0,0,2500,3381
426,0x41c78684c1c25fa720866d856438c06cf1bc6e83,873,0,0,0,2500,3373
427,0x329108220c4da3a789f3fb468d8d04cb89bb747c,372,500,0,0,2500,3372
428,0xf5e9fd385bffa6cde887dc6097036e8e4c2c717c,516,350,0,0,2500,3366
429,0xc2f41fdd95ead46520365b3b63b88d207a310fec,194,250,0,418,2500,3362
430,0x97b4fc65a7878d00a1741f06dc7a49c8d421c520,716,0,0,141,2500,3357
431,0xa26d545ba98d49342ff53b1c5a0b6e5ec00d2b71,480,0,0,335,2500,3315
432,0x6a7f6773f574c839e867127e9ffe5243732446b2,2284,0,0,0,1000,3284
433,0xae4a4e47e5120bca36da2faf0c24aaf883b77cc6,769,0,0,0,2500,3269
434,0x610df1bca040b0e6d8710ad623c399e1d593f14b,219,550,0,0,2500,3269
435,0x2a69d12f42ebc78e40ff656c7cdc842ae4404c52,758,0,0,0,2500,3258
436,0x258cf235c6a45e540e7ab8512904027ff73ba63a,756,0,0,0,2500,3256
437,0x404581fa706e4e0d649a40ea503f9bcee3d2d76c,545,0,0,200,2500,3245
438,0x62f71257c349c3f091bdae1fa0115c11eb950a1f,726,0,0,0,2500,3226
439,0x9d68ff675ca008e43929cd1e160e1d6df38137ec,674,50,0,0,2500,3224
440,0xd4235db8009f376e70e2f53aa66f0a0ee6b8bf4e,723,0,0,0,2500,3223
441,0x6e4014e545adc042871cf185b330c1e06225e69e,427,0,0,272,2500,3199
442,0xeeb9ebb2d538cf972b5cfe248523b4bffb4297d7,398,0,0,300,2500,3198
443,0xc04b3aedde2939406f0ff6df57594727b3fc67a6,681,0,0,0,2500,3181
444,0xdd6403a539c741e34c8b5bc774a39f5601c48890,670,0,0,0,2500,3170
445,0x10dd8045135a07eff38032f068453db382948d52,666,0,0,0,2500,3166
446,0x21e52c912c9dea987351978333d2ee1e700c147d,1045,0,0,1111,1000,3156
447,0xd60ad36bd289cfb89340804493c200fd04154547,445,0,0,200,2500,3145
448,0x639c93e5511462acd49628b4edc9bed71b0c8361,183,450,0,0,2500,3133
449,0x6444ff67a60e4d612f47236d7421e46bc2cdc69c,2119,0,0,0,1000,3119
450,0x1dd338e033e04b2756b01046fb47ac1fa6e212cc,209,400,0,0,2500,3109
451,0x5114ed5510ebdecbae3c8486694ad560932194f7,595,0,0,0,2500,3095
452,0x4f4119c34a1afc9ec7b4ebbb157f68383226a6ac,310,0,0,275,2500,3085
453,0xcb63c10bfcbe41795f238c1e4e5467efbf994e36,403,0,0,152,2500,3055
454,0x231382e56211951f1f470b5cfd02fde6bf70f0e2,553,0,0,0,2500,3053
455,0x2bef883f17a655ee11e47be97fe898ab261b6147,547,0,0,0,2500,3047
456,0x80ae55432037181c5ec2bd13d2eada87de8ca665,2043,0,0,0,1000,3043
457,0xf827ccf43ec0f70ccba8767a0a42cda45ddf3b99,538,0,0,0,2500,3038
458,0xfcd5a7fa2424704cb863de4bdec1bb98a3287285,162,0,0,375,2500,3037
459,0x9526a1196d23fe643802d4e50b49586dfc51e153,2035,0,0,0,1000,3035
460,0x124093f6d13677aeb818a0886b65ed891dc701c2,235,0,0,289,2500,3024
461,0x84327cb726d0b63c7c46a713e16ad7b736439efc,123,0,0,400,2500,3023
462,0x24d6702b4cda74d4300cb70877cacff8a5740177,261,0,0,250,2500,3011
463,0xe9e9206b598f6fc95e006684fe432f100e876110,301,0,0,200,2500,3001
464,0x27fb01ed7067cb7f9bb3556fd4ef5f2e3435f1b9,1996,0,0,0,1000,2996
465,0x997a5e0b87eaaa7fc3ec09e9986fdd22b31d61b6,280,0,0,200,2500,2980
466,0x6f3fdce9ce6e385cf25e04adcd884d094fd0cc37,1571,50,0,327,1000,2948
467,0xebaadb04c946562a26daf56f12503cd03234d8dd,286,0,0,160,2500,2946
468,0xd7aab833fafa910447cf763938bc30e7b4e28f58,1694,0,0,245,1000,2939
469,0x8caeae3b3b7e23f5542d1f4c4e2e6f1d61155738,233,0,0,200,2500,2933
470,0x2ffe2aa4ee05dc17208c291be28a8562b72cb516,411,0,0,0,2500,2911
471,0xf918ff4a55884c33f6df32be08e25224278fd351,405,0,0,0,2500,2905
472,0xac9864abe1dacb10d3a914d90d4072a2e927bc2d,0,400,0,0,2500,2900
473,0xbb6559b0fe6636c42f4591259994e586d6980d07,0,400,0,0,2500,2900
474,0xddc9712a0c5f3d9c0690f0bd0900514f35dbffda,394,0,0,0,2500,2894
475,0xa86c291bca9569dd03ae55c61167d44bb81c25d6,343,50,0,0,2500,2893
476,0x4b8fa83d60cc911fad5f1e2de46294f4da96bc12,267,0,0,120,2500,2887
477,0xdf3178d24fa9a2407cea220c0cbb316f419edfff,117,0,0,250,2500,2867
478,0x882d64adc68fbbe126905b658c6f1fbb0ed49b92,356,0,0,0,2500,2856
479,0x0899eb3e9242f36be0dbe617506fa6560f5a5dd1,306,50,0,0,2500,2856
480,0xb5a7b0dd4cc17d2759ff24ca633bd41b6a9b2fd0,355,0,0,0,2500,2855
481,0x5abdc81f70204e40fad4cf8ae21c2de484a82f6e,80,0,0,267,2500,2847
482,0xb116ad4d2329599f487e7017ffafede4ed03a4c4,339,0,0,0,2500,2839
483,0xa6e2006350e1efd42a166c6e5d04214027e4b195,327,0,0,0,2500,2827
484,0xfe867550e9b72fcd761f16cd645371988239c8c7,162,0,0,163,2500,2825
485,0xeb39c9d420b859c335a8b8458d0693b3c8cb58f2,176,0,0,148,2500,2824
486,0x4062b0d6738ccfe31b0d25eb6b77b84c3a0f367e,317,0,0,0,2500,2817
487,0x2ce29d6819d6059639dcac1c95c53c4e047928f2,161,0,0,147,2500,2808
488,0xbcc224605383cb72dc603b1e3b4f4678b371c4dc,117,0,0,185,2500,2802
489,0x7cb0d50049ecbf37b3f529e6d48ee39d124c8f30,47,0,0,252,2500,2799
490,0xbf696ad8a4bb40da24f89b131121a58b487914de,1438,350,0,0,1000,2788
491,0x89cc5ee6545349f829a4bb5132f7d7f078199236,1786,0,0,0,1000,2786
492,0x49c455aaef694541d943407e12bf6aaaa27a1fb8,117,0,0,168,2500,2785
493,0x730370447eb0c363fa9cd2cbcedbd27e3bd32edd,280,0,0,0,2500,2780
494,0xe453f235884081b42126690aa2020d995040b1a8,271,0,0,0,2500,2771
495,0xb68c3302d0a317e4bf74a804a9988676b336a353,263,0,0,0,2500,2763
496,0x3656a0a286eeb1dde4afc33864441e2ec8dd944f,262,0,0,0,2500,2762
497,0xcbcf5b2cd7ab1f23870866aedb2698390a1e068b,259,0,0,0,2500,2759
498,0x28b4d5fe28fe242b6fe22bcdcd5d3790b8d67277,408,450,0,900,1000,2758
499,0xc46acd984536f2ca378fd6c64008473bb0f83553,106,150,0,0,2500,2756
500,0x55099339b9ccb397e7e4ac515cc5d19047ea882b,255,0,0,0,2500,2755
501,0xa2abcbcdbeed806bbfc31cfe9db4544d71d20a43,114,0,0,140,2500,2754
502,0x774e059b616e0345350533706fe38b9ca9768598,254,0,0,0,2500,2754
503,0x94a465183ff9a939295d3c8cc09b5ca27a63fb9c,253,0,0,0,2500,2753
504,0x929d3fe677347e19c4f9c80d6d5abe8106c1af73,122,0,0,125,2500,2747
505,0x9ffd8e89cfb99c2c0cd1665280d846e51d8dd8be,91,0,0,150,2500,2741
506,0xfe40c10abc0ccd86c307ea9b2cd3bb01e25628e4,240,0,0,0,2500,2740
507,0x58ebf2747dcc1b769ee55f009d6f5680c23d0daf,232,0,0,0,2500,2732
508,0xfdef34ff3715704a84ce1df2d26d49cbe8ecfd97,128,0,0,101,2500,2729
509,0x983640527d989ee2b0c05b244242344a4ebe7154,115,0,0,113,2500,2728
510,0x7d117cb5c27b31e54c47accfcb489e6ee66f83e7,90,0,0,138,2500,2728
511,0xc4c750ed9d1690b2b5f246ee4319363a1a1fe2cd,227,0,0,0,2500,2727
512,0xe1164c52f73bb4670514ad818c077e1973ed3e13,223,0,0,0,2500,2723
513,0x95026ec7c670081024a0bf03487d51130cd883a3,223,0,0,0,2500,2723
514,0x19c5bad4354e9a78a1ca0235af29b9eacf54ff2b,215,0,0,0,2500,2715
515,0x001928678c7003bbb767282448e813f9b0d56f75,214,0,0,0,2500,2714
516,0xd5e04351c0d7e86a0d3adedfaceced185dec4e57,13,0,0,1700,1000,2713
517,0x5aad302341638541c9a39a1810d466ff5fb2eecf,211,0,0,0,2500,2711
518,0x596dddbe8123362cfe3afafac888efbb31b0bf91,209,0,0,0,2500,2709
519,0x055262fe92c8fbb4b8578bf9ab5945859a582338,196,0,0,0,2500,2696
520,0x0c93bf0bacf2fb82d83028c19811f8be7c0f3178,188,0,0,0,2500,2688
521,0x00fd4811280e4c2da0867112eb2df005e82e3996,181,0,0,0,2500,2681
522,0x2e95e6d58d7bdf9c79f52bdde239148c302798f7,75,0,0,100,2500,2675
523,0x883c7d034bdb1caf0d905e2d70859f4d71524d00,174,0,0,0,2500,2674
524,0x2673d877f9be6e51120863ed9e1889392523137e,162,0,0,0,2500,2662
525,0x0e74fa977a49b91af6af2338b70073ba1250ae04,153,0,0,0,2500,2653
526,0xb19f19b900027fba2672bf56b680204f625d7a24,152,0,0,0,2500,2652
527,0xd1fe0a6d789697361c479c9e3a2b32cb119363eb,152,0,0,0,2500,2652
528,0x55dbac71d136a8ad02edd815b1e1b9217e4a9e22,151,0,0,0,2500,2651
529,0x353546ab91604aa43ade139ab407af6f4fe3a1ae,149,0,0,0,2500,2649
530,0x5531ad71dc8a9b63264266493df8b74c4d12f302,140,0,0,0,2500,2640
531,0x382920dc26179bcd92b26669f518986d3838c81f,138,0,0,0,2500,2638
532,0x393d2fb1fcac3b41bddcb7faab4803766b5e2f9a,135,0,0,0,2500,2635
533,0xaf879e242b8002bd98f8971885471364a393d52e,134,0,0,0,2500,2634
534,0x6d3cdddbdb689b50098273611615f4c17c3a4144,128,0,0,0,2500,2628
535,0xb6b37f580eec1e9c5a599b24edc743c2ca325a37,126,0,0,0,2500,2626
536,0x7a5ef27ea3919b8ae414151c35fa53cb35a49499,124,0,0,0,2500,2624
537,0x3ebebe0a0cf92c33594f5948e7ea654e6c10ba52,120,0,0,0,2500,2620
538,0x0a0bdcff68ab1963c2cc39faff0d69d2764adeeb,118,0,0,0,2500,2618
539,0x3c27d4d81f33d3695a4198fee1668d052ba91ae6,117,0,0,0,2500,2617
540,0xaeedeedd4c8727b2025f7f7bf995c5b55d6b93a8,117,0,0,0,2500,2617
541,0x431d0fc06498dc8d4ee48264f07c8166603ac173,108,0,0,0,2500,2608
542,0xfc2edfc9d947f08f6910465ad1b686b4c641d6ea,1606,0,0,0,1000,2606
543,0xcaab166550f42a316a71ec74eda849892900887f,103,0,0,0,2500,2603
544,0xb5b8f83319c5ac094f9df39383da611c1c453e8b,103,0,0,0,2500,2603
545,0xa7f25ffbfa09ea701a4bbde2e3ec1b8e670f6c10,100,0,0,0,2500,2600
546,0x07b2cb98d91b14c9d7dc979d81597f8bdd979406,98,0,0,0,2500,2598
547,0xc186b1c2e41a676132babf94f894f8e4bf2d69e8,96,0,0,0,2500,2596
548,0x7b71d4e1dda649c6b70f46b74ad974e0b2777a9e,95,0,0,0,2500,2595
549,0xb3326ae76c7f67e1e21f1bd2a27fd1df1594acc4,88,0,0,0,2500,2588
550,0xb4d09d88d0a4b9eb1ab591191091f3bb374db8b5,84,0,0,0,2500,2584
551,0x4c1492c9018eead5cc27c442b774a33950fd0b16,83,0,0,0,2500,2583
552,0xa0825f3787a4a2625ea43780302fe07846c2c6a8,75,0,0,0,2500,2575
553,0x99a0e1c93e7375b1d197bcca720292afa381b4e5,72,0,0,0,2500,2572
554,0x24fc45a66a1b6687c05c4bf1537e233d43a44960,70,0,0,0,2500,2570
555,0xdd4d50c189ca9c3dd3d41bba9e6b0a9bb1df9107,68,0,0,0,2500,2568
556,0x37f879d7c4a23778b252fad5194717b924f8c97d,64,0,0,0,2500,2564
557,0x9e7bde941d281bdfcae93d02697c67f52da876c8,64,0,0,0,2500,2564
558,0x3db9b6fd1594b8ecb8093823c44d5222488f878d,1562,0,0,0,1000,2562
559,0xb69f990465421d2d3cad336eb70cf1609b0c2157,62,0,0,0,2500,2562
560,0x679edcb049ed83b46d4efb3f6cf43a6e0e92a0fe,59,0,0,0,2500,2559
561,0xea23a8b8afaf872aab0361c0a708f0b542bf774c,59,0,0,0,2500,2559
562,0xa32a9374ea1db25859d48af41f3bfcb90efed9cf,59,0,0,0,2500,2559
563,0x86e987c1207df5ebd6d1bc4543e25987cd20efbc,58,0,0,0,2500,2558
564,0x1a9374d0c0d3260cc7e5d8bdfa315a2f2dfad9dd,57,0,0,0,2500,2557
565,0x10f5037f2c2aa5fbcdbac33ae981b2ffae5db71f,56,0,0,0,2500,2556
566,0x04dce2abe30ffab6e9f5b5bf26063e5c1bf14a74,53,0,0,0,2500,2553
567,0x2592a87cf91c1d0bf65570884793e621e2fc0374,52,0,0,0,2500,2552
568,0xee2799263736cae59f3ec237bd03190c38f2e6d9,548,1000,0,0,1000,2548
569,0xce7fa26f49ff812f5f2ceb754f205db6d42c3ddb,48,0,0,0,2500,2548
570,0x947b7d38421e2701852246cf18ef6ae19c299bf3,48,0,0,0,2500,2548
571,0x79ec3c567afa0948ade31e4fe0ff524c49a9bdd4,46,0,0,0,2500,2546
572,0x156e6252da59c0f424c4a9812b1189a008f488ba,45,0,0,0,2500,2545
573,0x76cc02a38c05760b4e9b85c3d237053bc6162ad2,41,0,0,0,2500,2541
574,0xfbc6b1d12f92292e67368206435ecd206fd2fe76,34,0,0,0,2500,2534
575,0xd6ec0396bf2eb8c51a7ceb47a2191e43e6a1bd39,1527,0,0,0,1000,2527
576,0x94a7a0ccbbf54e37b154737b8cc1ecb5cc5310bb,27,0,0,0,2500,2527
577,0xa8b4da0e1bcffd8bec0bb77d095253d59d2e404b,27,0,0,0,2500,2527
578,0x798c090331cb7638e55303de093558ed7838df1f,24,0,0,0,2500,2524
579,0x23af00c325ce769daf1eed5d6c4290eb510b99d0,19,0,0,0,2500,2519
580,0xda888cdca21fee73cb84fef8be562ea6d96d514f,19,0,0,0,2500,2519
581,0x74b5e61e9feabefdcdacf20fd2d1f30502e80601,18,0,0,0,2500,2518
582,0x04b72712f55a2c675fed223b0ba1abbe39eb3424,17,0,0,0,2500,2517
583,0xa99dbafac39777caa24434f8790771a3952542ff,17,0,0,0,2500,2517
584,0x187022f33b178d17d1369fb0b82115b6415cfdc4,16,0,0,0,2500,2516
585,0x6288d0ea977d682f9a2609fd1e399248721e6838,16,0,0,0,2500,2516
586,0xc8603095a07644610a763996ac78cdfecda92290,13,0,0,0,2500,2513
587,0x74b159e1a5a996bb98fd3858567027a7d9c56055,1511,0,0,0,1000,2511
588,0x7a72db6a96672e68c138a768a3ce242aa65656f0,1187,0,0,323,1000,2510
589,0x4e1a6b0ae80a05b0e429144b58b8c3becb621cd1,7,0,0,0,2500,2507
590,0xdb1d7ae5161f655d0da47903541110402011ae71,3,0,0,0,2500,2503
591,0xdefbffe64156f9b5e854206a62796e08df230948,1616,0,0,850,0,2466
592,0x184ad98dac99fd75bb61e0c0f6bd314824fdd8eb,1266,200,0,0,1000,2466
593,0x8125ef62932875f3dfab6c9b39fa12c087397cb5,1430,0,0,0,1000,2430
594,0x85349b9830b07dae1f490fd920db404e76b671f6,1410,0,0,0,1000,2410
595,0x5f31a3cfd8c37e5875a031bc0720497b7fc51127,2407,0,0,0,0,2407
596,0x7b5d9d35652183b8a19d01eed74e10748a5f1330,1141,250,0,0,1000,2391
597,0x2a2d0bb12dcb80f18fb9fb36ae278aea8cb80aa0,1036,350,0,0,1000,2386
598,0x59ed1efca81c7a01d89f8d71c962bdd509474e92,1386,0,0,0,1000,2386
599,0xaa2c7930e2d3c247f20d6c31ed5fd634101c6097,1980,400,0,0,0,2380
600,0x10b0adb54f73e3433028433c63cd2accbe122bd0,0,0,0,2371,0,2371
601,0xc1abc241e272821d5111e3939d96783f5072e19b,12,0,1920,433,0,2365
602,0xf17150e63cf976b71f7a7ee9a2a457312a95516e,1113,250,0,0,1000,2363
603,0x6368ce2750325f5002587c70c8bc298b4df61eba,1094,0,0,261,1000,2355
604,0x54c07a05213933c8d625fa28bd609701d8f3d694,2006,0,0,250,0,2256
605,0x9865f649666d6180421dc3ac86d750535374ff44,1242,0,0,0,1000,2242
606,0x01f796abdb4bbe7c61fdc7433eb18cea50cf158f,1232,0,0,0,1000,2232
607,0x70ddda43d4f616263b1db0ec672cbd8795db13b1,720,0,0,500,1000,2220
